epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1268.21,1.00893,0.59953,0.99288,0.86408,0.82684,0.85199,0.61347,1.00157,0.60708,1.07013,0.000395958,0.000395958,0.000395958
100,1280.91,1.02891,0.58272,1.00393,0.88067,0.78406,0.85668,0.61279,0.99229,0.62716,1.06041,0.000392152,0.000392152,0.000392152
101,1293.83,1.02643,0.58519,0.99665,0.88153,0.7936,0.85621,0.61681,1.00323,0.61002,1.06089,0.000388345,0.000388345,0.000388345
102,1307.05,0.98601,0.57471,0.9779,0.89632,0.78368,0.85512,0.61699,1.00099,0.60651,1.06181,0.000384538,0.000384538,0.000384538
103,1319.96,1.00692,0.58864,0.98709,0.84392,0.79837,0.85544,0.61778,0.98302,0.61816,1.05138,0.000380732,0.000380732,0.000380732
104,1333.14,1.01722,0.58029,0.99757,0.86603,0.80432,0.85634,0.62008,1.00564,0.63247,1.05762,0.000376925,0.000376925,0.000376925
105,1346.15,0.98937,0.56893,0.9857,0.87159,0.81865,0.858,0.62244,0.99539,0.60889,1.05253,0.000373119,0.000373119,0.000373119
106,1359.12,1.02516,0.58811,0.98424,0.87874,0.80458,0.84955,0.61408,1.00396,0.59879,1.06203,0.000369312,0.000369312,0.000369312
107,1371.73,1.01034,0.5791,0.99011,0.86654,0.80895,0.8486,0.61288,0.99035,0.60676,1.05195,0.000365506,0.000365506,0.000365506
108,1383.87,1.01784,0.59295,1.00372,0.88065,0.81732,0.8499,0.61042,1.00077,0.61337,1.05726,0.000361699,0.000361699,0.000361699
109,1396.21,0.9879,0.57069,0.99177,0.84567,0.81032,0.85782,0.61988,0.9961,0.59706,1.05372,0.000357893,0.000357893,0.000357893
110,1409.25,1.01053,0.58519,0.99027,0.85883,0.81676,0.85538,0.61265,1.01534,0.61543,1.07017,0.000354086,0.000354086,0.000354086
111,1422.16,0.98863,0.57948,0.98391,0.89083,0.7974,0.85735,0.62046,0.99773,0.60979,1.06171,0.00035028,0.00035028,0.00035028
112,1435.39,0.98819,0.56252,0.97244,0.89588,0.78193,0.8496,0.61528,0.98861,0.59922,1.0531,0.000346473,0.000346473,0.000346473
113,1448.45,0.9699,0.56363,0.97865,0.86643,0.79222,0.84224,0.60567,1.00769,0.6127,1.06381,0.000342666,0.000342666,0.000342666
114,1461.36,0.99042,0.56014,0.98024,0.87311,0.81971,0.84502,0.60541,1.00773,0.60326,1.06952,0.00033886,0.00033886,0.00033886
115,1474.61,0.96138,0.56061,0.97637,0.89319,0.78053,0.84703,0.60364,0.99791,0.58451,1.06316,0.000335053,0.000335053,0.000335053
116,1486.83,0.97997,0.56861,0.98345,0.87288,0.79315,0.85485,0.61055,1.00161,0.59736,1.06768,0.000331247,0.000331247,0.000331247
117,1498.72,0.95944,0.56898,0.96508,0.89408,0.78749,0.84678,0.60511,1.00324,0.57318,1.07296,0.00032744,0.00032744,0.00032744
118,1511.53,0.96902,0.55929,0.96992,0.86939,0.80748,0.85864,0.61814,0.99338,0.6002,1.06021,0.000323634,0.000323634,0.000323634
119,1524.29,0.96213,0.55473,0.97219,0.84139,0.81845,0.85654,0.61341,0.98675,0.60922,1.0555,0.000319827,0.000319827,0.000319827
120,1537.2,0.96359,0.55525,0.97513,0.8635,0.81329,0.85318,0.60895,1.0036,0.63442,1.05553,0.000316021,0.000316021,0.000316021
121,1550.28,0.95159,0.54661,0.96596,0.85541,0.84141,0.87645,0.62522,1.00457,0.60403,1.05783,0.000312214,0.000312214,0.000312214
122,1563.15,0.9455,0.55051,0.97104,0.87316,0.79613,0.85777,0.62376,0.97898,0.58617,1.04953,0.000308407,0.000308407,0.000308407
123,1576.09,0.94335,0.54639,0.96323,0.8594,0.84699,0.85809,0.62094,0.99909,0.58558,1.06616,0.000304601,0.000304601,0.000304601
124,1589.2,0.93171,0.54258,0.97202,0.8553,0.82389,0.84923,0.6057,1.00845,0.6088,1.07872,0.000300794,0.000300794,0.000300794
125,1601.53,0.95468,0.55621,0.9696,0.83632,0.825,0.85068,0.60017,1.01175,0.61312,1.08241,0.000296988,0.000296988,0.000296988
126,1613.28,0.94011,0.54092,0.95685,0.87528,0.81223,0.86209,0.62397,0.98762,0.60744,1.07342,0.000293181,0.000293181,0.000293181
127,1625.95,0.93759,0.54285,0.96509,0.86725,0.83134,0.85904,0.61764,1.00839,0.60852,1.07085,0.000289375,0.000289375,0.000289375
128,1638.83,0.91876,0.52996,0.95193,0.88909,0.7998,0.84162,0.60614,0.99379,0.60964,1.06235,0.000285568,0.000285568,0.000285568
129,1651.53,0.9249,0.53733,0.95795,0.83613,0.85382,0.85638,0.61428,0.99413,0.59494,1.05799,0.000281762,0.000281762,0.000281762
130,1664.76,0.92523,0.52378,0.95931,0.89826,0.83787,0.85831,0.61126,1.00401,0.59845,1.06818,0.000277955,0.000277955,0.000277955
131,1677.83,0.91979,0.52861,0.95936,0.89568,0.80586,0.85451,0.61676,1.00418,0.60446,1.06914,0.000274148,0.000274148,0.000274148
132,1690.76,0.97146,0.54025,0.96488,0.89343,0.79178,0.85849,0.60871,1.00134,0.60929,1.07207,0.000270342,0.000270342,0.000270342
133,1703.9,0.93654,0.53407,0.96304,0.85226,0.823,0.85729,0.60863,0.99413,0.60572,1.07081,0.000266535,0.000266535,0.000266535
134,1716.39,0.94925,0.54151,0.96491,0.84741,0.79703,0.85106,0.61783,0.99189,0.59386,1.05853,0.000262729,0.000262729,0.000262729
135,1728.66,0.92926,0.52423,0.96364,0.87054,0.80057,0.85727,0.61622,0.99921,0.59622,1.06763,0.000258922,0.000258922,0.000258922
136,1741.22,0.92908,0.52802,0.96576,0.87413,0.80272,0.85805,0.62681,0.98201,0.59581,1.06623,0.000255116,0.000255116,0.000255116
137,1754.13,0.93008,0.52751,0.95719,0.83964,0.83187,0.86688,0.6236,1.01012,0.60632,1.06945,0.000251309,0.000251309,0.000251309
138,1767.15,0.91728,0.52299,0.95729,0.84144,0.8338,0.85639,0.61488,0.99821,0.60481,1.07125,0.000247503,0.000247503,0.000247503
139,1779.98,0.91858,0.52673,0.95521,0.85719,0.82174,0.85095,0.61917,0.98627,0.601,1.06491,0.000243696,0.000243696,0.000243696
140,1792.98,0.90229,0.52102,0.95742,0.89056,0.80976,0.85079,0.6168,0.97816,0.59662,1.05563,0.00023989,0.00023989,0.00023989
141,1805.99,0.89762,0.5104,0.95663,0.89481,0.80531,0.85304,0.6256,0.99651,0.609,1.07018,0.000236083,0.000236083,0.000236083
142,1819.02,0.87767,0.51167,0.95006,0.90228,0.81688,0.85594,0.61929,0.99983,0.60584,1.08133,0.000232276,0.000232276,0.000232276
143,1831.72,0.88568,0.50804,0.94155,0.91174,0.80121,0.85211,0.61694,0.99873,0.59642,1.07407,0.00022847,0.00022847,0.00022847
144,1843.88,0.92552,0.52713,0.95733,0.90439,0.80064,0.8502,0.63037,0.98237,0.5827,1.07061,0.000224663,0.000224663,0.000224663
145,1856.28,0.89843,0.50776,0.94408,0.88149,0.82303,0.84661,0.62381,0.99343,0.59863,1.06772,0.000220857,0.000220857,0.000220857
146,1869.31,0.89231,0.51825,0.95072,0.87961,0.81843,0.85483,0.62023,0.987,0.60068,1.07457,0.00021705,0.00021705,0.00021705
147,1882.04,0.89427,0.50808,0.94455,0.87267,0.83569,0.86639,0.6272,0.98988,0.58549,1.07258,0.000213244,0.000213244,0.000213244
148,1895.02,0.86186,0.49088,0.9464,0.86123,0.83003,0.86141,0.6218,0.99625,0.58948,1.06932,0.000209437,0.000209437,0.000209437
149,1908.23,0.88643,0.50596,0.94189,0.8526,0.82899,0.86772,0.631,1.00487,0.58204,1.06053,0.000205631,0.000205631,0.000205631
150,1921.43,0.86191,0.49406,0.93771,0.83435,0.82769,0.86365,0.62802,0.98353,0.58777,1.05181,0.000201824,0.000201824,0.000201824
151,1934.31,0.90355,0.51424,0.95332,0.84324,0.8214,0.85975,0.63321,0.96793,0.58832,1.04841,0.000198018,0.000198018,0.000198018
152,1946.79,0.90782,0.51201,0.95684,0.84781,0.81931,0.8559,0.63231,0.97116,0.58676,1.05035,0.000194211,0.000194211,0.000194211
153,1959.64,0.89073,0.51116,0.93934,0.81443,0.8393,0.86128,0.63153,0.98124,0.57793,1.05662,0.000190404,0.000190404,0.000190404
154,1971.69,0.89771,0.50674,0.95013,0.87036,0.82561,0.86191,0.62613,0.97991,0.58055,1.0537,0.000186598,0.000186598,0.000186598
155,1984.66,0.88481,0.50357,0.94189,0.89684,0.81455,0.86279,0.62706,0.99155,0.58381,1.0651,0.000182791,0.000182791,0.000182791
156,1997.77,0.8599,0.4992,0.94887,0.90338,0.81318,0.86499,0.62545,1.00686,0.58907,1.07198,0.000178985,0.000178985,0.000178985
157,2010.74,0.85713,0.49136,0.93887,0.85666,0.82207,0.86035,0.62583,0.98451,0.57897,1.06815,0.000175178,0.000175178,0.000175178
158,2023.72,0.87388,0.50308,0.94227,0.87676,0.81717,0.86405,0.62888,0.98811,0.58211,1.06898,0.000171372,0.000171372,0.000171372
159,2036.73,0.86082,0.49872,0.93907,0.89396,0.79481,0.85847,0.6309,0.98393,0.58305,1.06634,0.000167565,0.000167565,0.000167565
160,2049.9,0.89213,0.50331,0.94369,0.92139,0.79083,0.85693,0.62534,0.9928,0.5804,1.06464,0.000163759,0.000163759,0.000163759
161,2062.82,0.87372,0.50083,0.94136,0.89596,0.80738,0.86225,0.62358,0.99425,0.58312,1.0672,0.000159952,0.000159952,0.000159952
162,2074.4,0.86014,0.49175,0.93402,0.83988,0.83221,0.86501,0.62891,1.01522,0.58578,1.07574,0.000156145,0.000156145,0.000156145
163,2086.77,0.85519,0.48829,0.93439,0.88883,0.8175,0.86409,0.62388,1.01405,0.58967,1.079,0.000152339,0.000152339,0.000152339
164,2099.44,0.85202,0.48875,0.93549,0.89663,0.81877,0.86059,0.628,0.98996,0.58064,1.06882,0.000148532,0.000148532,0.000148532
165,2112.21,0.8558,0.48363,0.93634,0.91803,0.81563,0.8633,0.63416,0.97835,0.57665,1.06431,0.000144726,0.000144726,0.000144726
166,2125.13,0.81706,0.47698,0.92724,0.90858,0.81263,0.8706,0.63415,0.98559,0.57705,1.06767,0.000140919,0.000140919,0.000140919
167,2137.98,0.86703,0.49395,0.93761,0.89677,0.82102,0.85811,0.62654,0.99111,0.57277,1.06628,0.000137113,0.000137113,0.000137113
168,2150.55,0.83051,0.48443,0.92817,0.89711,0.81401,0.86093,0.62418,0.99142,0.5804,1.06651,0.000133306,0.000133306,0.000133306
169,2163.26,0.85803,0.49377,0.94568,0.88589,0.82427,0.86706,0.63073,0.99037,0.5872,1.07315,0.0001295,0.0001295,0.0001295
170,2174.93,0.85107,0.48435,0.93558,0.89519,0.81562,0.86712,0.63108,1.00969,0.60136,1.08298,0.000125693,0.000125693,0.000125693
171,2187.03,0.83845,0.48394,0.93173,0.8932,0.83159,0.86592,0.62843,1.01165,0.60291,1.08733,0.000121887,0.000121887,0.000121887
172,2199.7,0.82483,0.47603,0.93517,0.89571,0.82085,0.86407,0.62997,0.9861,0.59473,1.07769,0.00011808,0.00011808,0.00011808
173,2212.4,0.82603,0.47678,0.92923,0.86658,0.82504,0.86237,0.62763,1.00633,0.59539,1.08007,0.000114273,0.000114273,0.000114273
174,2225.31,0.84984,0.48262,0.93042,0.88589,0.81297,0.86183,0.62106,0.98605,0.58671,1.06985,0.000110467,0.000110467,0.000110467
175,2238.08,0.82792,0.46786,0.92855,0.84784,0.82557,0.8545,0.61688,1.0017,0.60034,1.07688,0.00010666,0.00010666,0.00010666
176,2250.7,0.8319,0.47777,0.93741,0.88335,0.80553,0.84758,0.60839,0.99946,0.60909,1.07915,0.000102854,0.000102854,0.000102854
177,2263.66,0.83921,0.47602,0.92648,0.85789,0.82294,0.84856,0.60775,1.00604,0.60287,1.0859,9.90472e-05,9.90472e-05,9.90472e-05
